url,page_type,city,primary_intent,title,h1,meta_description,canonical,indexability,schema,content_depth,internal_links,priority,notes
https://www.hautlabmx.com,Homepage,Mérida,Marca + piel + diseño facial,HAUTLAB + Dr. Salvador Cordero | Piel y diseño facial en Mérida,Precisión médica. Estética contenida.,"Precisión médica. Estética contenida. Valoración de piel, diseño facial y procedimientos por indicación en Mérida, con resultados sobrios.",https://www.hautlabmx.com,"Index, follow",MedicalClinic global,Media,Alta hacia áreas y procedimientos,P1,Posicionamiento premium claro; H1 de marca no captura directamente dermatología en Mérida.
https://www.hautlabmx.com/procedimientos,Biblioteca/índice,Mérida,Explorar procedimientos y condiciones,Áreas de atención y procedimientos | HAUTLAB,Información clara antes de decidir qué hacer.,"Explora diseño facial, piel y textura, condiciones de piel y procedimientos focales en HAUTLAB Mérida.",https://www.hautlabmx.com/procedimientos,"Index, follow",MedicalClinic global,Media,Alta hacia 18 páginas y 4 hubs,P1,Buen nodo de distribución; falta CollectionPage/BreadcrumbList y mayor contexto clínico-local.
https://www.hautlabmx.com/contacto,Contacto,Mérida,Agendar valoración,Contacto | Dr. Salvador Cordero,Agenda una valoración privada.,Agenda valoración privada con el Dr. Salvador Cordero.,https://www.hautlabmx.com/contacto,"Index, follow",MedicalClinic global,Baja,Baja,P2,"Puede reforzar dirección, horario, precio de consulta y señales locales."
https://www.hautlabmx.com/pagos,Transaccional,Mérida,Pagos y reservaciones,Pagos seguros | HAUTLAB + Dr. Salvador Cordero,Pagos seguros y reservaciones.,"Pagos seguros para valoración, apartado o link personalizado de HAUTLAB en Mérida.",https://www.hautlabmx.com/pagos,"Index, follow",MedicalClinic global,Media,Media,P3,Correcta para usuarios; baja prioridad orgánica.
https://www.hautlabmx.com/aviso-de-privacidad,Legal,General,Privacidad,Aviso de Privacidad Integral | HAUTLAB,Aviso de Privacidad Integral.,"Aviso de Privacidad Integral de Dr. Salvador Cordero Romero / HAUTLAB para pacientes, prospectos y titulares de datos personales.",https://www.hautlabmx.com/aviso-de-privacidad,"Index, follow",MedicalClinic global,Alta,Baja,P3,Correcta como documento institucional; no es objetivo de tráfico.
https://www.hautlabmx.com/tratamientos/medicina-estetica-facial,Hub de servicio,Mérida,Medicina estética facial en Mérida,Diseño facial | HAUTLAB + Dr. Salvador Cordero,Diseño facial,"Rinomodelación, toxina botulínica, labios, ojeras y soporte facial con enfoque conservador. Lectura anatómica y proporción facial. Se priorizan naturalidad, soporte, movimiento y límites seguros.",https://www.hautlabmx.com/tratamientos/medicina-estetica-facial,"Index, follow",MedicalClinic global,Media-baja,Alta hacia páginas de la categoría,P1,Hub útil pero delgado; debe consolidar intención local sin competir con procedimientos.
https://www.hautlabmx.com/tratamientos/calidad-de-piel-y-soporte,Hub de servicio,Mérida,Calidad de piel y soporte en Mérida,Piel y textura | HAUTLAB + Dr. Salvador Cordero,Piel y textura,"Textura, poros, cicatrices, estrías, pigmento, bioestimulación y procedimientos de soporte. Se trabaja barrera, textura, pigmento, colágeno y soporte. A veces el cambio correcto no es añadir volumen.",https://www.hautlabmx.com/tratamientos/calidad-de-piel-y-soporte,"Index, follow",MedicalClinic global,Media-baja,Alta hacia páginas de la categoría,P1,Menciona estrías sin página específica; oportunidad de expansión validada.
https://www.hautlabmx.com/tratamientos/dermatologia-clinica,Hub de servicio,Mérida,Dermatología clínica / dermatólogo en Mérida,Condiciones de piel | HAUTLAB + Dr. Salvador Cordero,Condiciones de piel,"Acné, rosácea, melasma, dermatitis, caída de cabello, uñas y piel sensible. Consulta médica con diagnóstico, rutina terapéutica y seguimiento. Se evita tratar síntomas sin entender el patrón completo.",https://www.hautlabmx.com/tratamientos/dermatologia-clinica,"Index, follow",MedicalClinic global,Media-baja,Alta hacia páginas de la categoría,P0,Mayor brecha semántica: title y H1 no expresan dermatología clínica ni intención local principal.
https://www.hautlabmx.com/tratamientos/dermatologia-procedimental,Hub de servicio,Mérida,Dermatología procedimental en Mérida,Procedimientos focales | HAUTLAB + Dr. Salvador Cordero,Procedimientos focales,"Verrugas, lunares, quistes, dermatoscopia y procedimientos dirigidos a lesiones específicas. Evaluación previa y selección de técnica según diagnóstico, localización, seguridad y resultado esperado.",https://www.hautlabmx.com/tratamientos/dermatologia-procedimental,"Index, follow",MedicalClinic global,Media-baja,Alta hacia páginas de la categoría,P1,"Menciona quistes, dermatoscopia, cauterización y biopsias sin páginas específicas."
https://www.hautlabmx.com/procedimientos/rinomodelacion,Procedimiento/condición,Mérida,Rinomodelación en Mérida,Rinomodelación en Mérida | HAUTLAB + Dr. Salvador Cordero,Rinomodelación,Corrección visual de proporciones nasales con enfoque conservador y valoración anatómica previa.,https://www.hautlabmx.com/procedimientos/rinomodelacion,"Index, follow",MedicalClinic global + MedicalWebPage + FAQPage + BreadcrumbList,Media-baja,Breadcrumb + categoría + 2 relacionados,P0,"Profundizar riesgos, recuperación, duración, alternativas, autoría y contexto local."
